0chain,18.094527568797567,1557273600000,1559865600000,164285.78574249582,2972673.6792791607
0x,8.022682726436148,1512777600000,1515369600000,122849805.103691,985585009.3514291
1337,508.44204560361925,1508544000000,1511136000000,2195.6468716662,1116359.18685315
1337,9.528944560657159,1512518400000,1515110400000,1312184.39308901,12503732.335104737
1million-token,19.075883558061875,1590710400000,1593302400000,80397.75717579511,1533658.2542148011
1world,25.162580328548245,1568073600000,1571961600000,518740.81718778046,13052857.482184285
2acoin,15.300040430075864,1549497600000,1552608000000,1171.195329442699,17919.335891989314
2acoin,7.7381676360944445,1555200000000,1559088000000,470.2873165328297,3639.1620924600466
2acoin,10.36519636855942,1562112000000,1565308800000,3799.964955831662,39387.3829608394
2give,7.847754530736838,1511568000000,1514160000000,3307035.37852671,25952801.87514
2give,23.066544750093772,1586736000000,1593561600000,10399.693304486043,239884.9909951779
2give,10.504187723376813,1595462400000,1598832000000,11644.374573306533,122314.6964393276
2give,7.309625930764165,1611532800000,1614211200000,23204.31673039659,169614.87527817165
2give,7.614537231749374,1614556800000,1618704000000,108000.43122848455,822373.3046342834
404,44.63967836377818,1558569600000,1561161600000,302.82435653490745,13517.981876436357
404,35.256051128538516,1589760000000,1592352000000,523.4281863854169,18454.010901322446
4new,10.46857608698141,1549756800000,1552348800000,29355.423999639253,307309.48970582365
4new,15.20769753972308,1585785600000,1588464000000,842.86367819578,12818.01588521991
4new,8.439066423872752,1613520000000,1616112000000,13873.640844411075,117080.57662693912
88mph,7.029750601455479,1609459200000,1612051200000,6251465.523527921,43946243.523998596
8pay,11.106219493258509,1627776000000,1630368000000,562467.4474184207,6246886.928841819
aave,7.640903507075099,1601683200000,1604275200000,45070668.05283284,344380625.5911081
aave-bat-v1,8.305855909612465,1596067200000,1598659200000,322414.4252444663,2677927.7592610563
aave-dai-v1,7.565944964320276,1594857600000,1597449600000,5150733.423031799,38970165.604543574
aave-knc-v1,7.218476047592185,1596240000000,1598918400000,1114985.9602200168,8048499.447249764
aave-mana-v1,7.896403437142326,1593216000000,1595808000000,309881.4788181394,2446949.174446303
aave-mkr-v1,13.8023348119721,1595030400000,1597795200000,1772688.637084911,24467242.086424444
aave-tusd-v1,43.128548826700495,1593043200000,1595635200000,2665345.7245882363,114952493.22294116
aave-usdc-v1,7.214241248339885,1593475200000,1596067200000,12205639.01885436,88054424.47216588
abcc-token,16.5303372858175,1533427200000,1536019200000,1318335.8551218184,21792536.34115029
abitshadow-token,10.470071043489341,1568851200000,1571443200000,30648.8932247511,320896.08946746314
abitshadow-token,7.1541211667998015,1579305600000,1582156800000,5903.188079920566,42232.12279416
abitshadow-token,12.381900412298982,1607040000000,1609718400000,1782.216716335257,22067.229894797656
abitshadow-token,30.10291741324995,1610064000000,1612742400000,1758.8374529229375,52946.13858867009
abitshadow-token,9.855339484886176,1614470400000,1617062400000,8741.25649263132,86148.0502593471
abitshadow-token,13.95115399320673,1617494400000,1620086400000,6234.011865861321,86971.6595361093
abitshadow-token,8.085470461679778,1620864000000,1623542400000,6550.387822838178,52962.967254105
abitshadow-token,11.691986415630568,1626998400000,1629763200000,6315.203886352299,73837.27805116845
absolute,7.92337242466067,1616112000000,1618704000000,20940.06614742226,165915.94268305594
aced,10.90279981993112,1559692800000,1562284800000,19201.945800971655,209354.97122116087
aced,7427.635618816895,1580428800000,1583107200000,10.384834984716699,77134.77022801756
aced,33.44759668643693,1591488000000,1594080000000,5787.013409901357,193561.6905533827
aced,7.266757311701037,1594857600000,1597449600000,120309.43737259634,874259.4836939524
aced,7.290623895605497,1606867200000,1609459200000,38053.19536749439,277431.535450399
aced,21.063066081969822,1613952000000,1616630400000,67167.2784928279,1414748.8254405044
aced,7.890780522283703,1626652800000,1629244800000,43366.24809744896,342193.54581187293
acoconut,14.932947706539764,1604016000000,1606608000000,124529.57700413588,1859593.6613202777
acoconut,7.737659815120041,1611273600000,1613865600000,1347282.8706384392,10424816.527738623
acreage-coin,10.503613107866082,1541203200000,1543795200000,7178.4918442466205,75400.10102993857
acreage-coin,7.163667769320757,1550880000000,1553472000000,6001.679723620696,42994.03959788749
acreage-coin,13.875228737497421,1558310400000,1560902400000,14023.954186139556,194585.57213687082
acreage-coin,11.082833348805838,1562630400000,1565222400000,19870.785424509413,220224.6033697179
acute-angle-cloud,8.165288248814429,1579046400000,1581638400000,789994.9570526975,6450536.53944505
acute-angle-cloud,8.149744447969235,1582588800000,1585180800000,1469118.2901575416,11972938.628621481
acute-angle-cloud,25.120107986872455,1591142400000,1593734400000,1165285.5081725344,29272097.80083161
adax,7.475189803780751,1627689600000,1630281600000,15097246.818109948,112854785.47989687
adbank,132.76756084547665,1600128000000,1602720000000,6114.348133686226,811787.0878696126
adbank,134.0649947420064,1603497600000,1606089600000,6752.760430048164,905308.7915484362
adbank,7.083421141629669,1614297600000,1616889600000,1046311.0671081156,7411461.933474726
adelphoi,241.88495538024353,1516147200000,1519257600000,9747508.22890784,2357775593.0179296
adelphoi,10.090333731625117,1521417600000,1524182400000,418624.6542140494,4224062.469305923
adelphoi,12.284105557091394,1531008000000,1533600000000,238236.54309731253,2926522.84296394
adshares,7.433455004847211,1513123200000,1515715200000,4394728.45932924,32668016.260945413
adshares,9.620914415376902,1551052800000,1553644800000,1213525.3217658538,11675223.261601996
adshares,8.90606662204551,1556928000000,1559520000000,3016356.479757476,26863871.764558747
advanced-internet-block,8.961873406121473,1533600000000,1536192000000,83809.13606690525,751086.8677080142
advanced-internet-block,7.371439614086401,1545264000000,1551225600000,2327.360796351839,17155.999570499618
